id,nombre,CPU(%),MEMORIA(KB),TIEMPO(S),SE,PSNR,VENTANA
1,49,-nan,105700,0.667,21.8483,31.7113,3
1,50,-nan,105700,0.747,38.778,28.7231,3
1,51,-nan,105700,0.671,29.0947,29.764,3
1,52,-nan,105700,0.648,41.8032,28.1376,3
1,53,inf,105700,0.994,34.8336,29.7336,3
1,54,25,105700,10.809,4.47869,38.5939,3
1,55,-nan,105700,3.076,18.5775,33.7958,3
1,56,0,105700,2.71,34.8417,29.9693,3
1,57,25,105700,22.325,0.926573,40.4176,3
1,58,-nan,105700,0.853,21.4928,27.4256,3
1,59,inf,105700,14.899,1.35557,43.2877,3
1,60,-nan,105700,0.642,55.9877,26.4371,3
1,61,-nan,105700,0.776,25.5012,30.2313,3
1,62,-nan,105700,0.675,21.7958,32.8936,3
1,63,50,105700,13.95,8.2289,37.4142,3
1,64,-nan,105700,0.633,24.2226,31.5012,3
1,65,0,105700,1.418,36.9644,29.3306,3
1,66,-nan,105700,1.882,32.6002,29.3221,3
1,67,0,105700,5.233,29.1727,28.814,3
1,68,-nan,105700,0.658,28.0044,29.718,3
1,69,0,105700,1.419,29.9982,32.4258,3
1,70,50,105700,13.659,1.28049,44.5469,3
1,71,25,105700,9.349,24.1461,32.7391,3
1,72,inf,105700,9.654,47.3245,30.5214,3
1,73,-nan,105700,0.668,29.8203,27.2623,3
1,74,-nan,105700,0.721,19.7097,31.7131,3
1,75,25,105700,13.745,10.0546,36.7455,3
1,76,0,105700,0.626,23.8745,29.2664,3
1,77,0,105700,11.64,8.49145,36.0536,3
1,78,-nan,105700,0.635,43.8807,27.7676,3
1,1,-nan,108924,1.531,23.8707,33.9335,3
1,2,-nan,108924,1.185,36.0243,32.002,3
1,3,inf,108924,0.734,24.4256,31.1786,3
1,4,-nan,108924,0.697,40.447,30.8582,3
1,5,-nan,99508,0.839,10.6407,31.7377,3
1,6,-nan,99508,0.689,16.4614,30.8197,3
1,7,-nan,99508,1.237,21.1055,32.3311,3
1,2,50,98116,12.191,7.02672,39.1004,3
1,2,-nan,97824,0.456,46.4548,30.8977,3
1,3,-nan,97824,0.529,31.013,30.1416,3
1,4,-nan,97824,1.153,3587.3,11.3794,3
1,5,-nan,97824,0.53,1242.51,11.0644,3
1,6,-nan,97824,0.691,19.4978,30.0845,3
1,7,-nan,99552,0.542,17.9889,33.025,3
1,8,-nan,99552,0.575,19.5161,32.6711,3
1,9,inf,99552,0.606,30.5744,31.7547,3
1,10,-nan,111228,0.735,15.4074,34.056,3
1,11,-nan,111228,0.646,14.5599,32.5587,3
1,93,25,88756,9.033,42.3808,31.5116,3
1,93,12.5,88848,10.576,42.3808,31.5116,3
1,93,0,88704,7.172,42.3808,31.5116,3
1,93,inf,88840,6.981,42.3808,31.5116,3
1,93,inf,88748,5.75,42.3808,31.5116,3
1,92,-nan,91372,0.622,61.1705,29.2551,3
1,60,-nan,90404,0.543,43.4279,27.5403,3
1,93,-nan,89020,6.817,42.3808,31.5116,3
1,59,25,89640,11.223,1.35557,43.2877,3
1,5,-nan,97828,0.878,23.4737,28.3016,3
1,5,0,97064,0.857,15.4734,30.1116,3
1,5,-nan,97292,0.663,17.9814,29.4592,3
1,5,inf,97608,0.557,23.0022,25.8449,3
1,5,0,97536,3.259,45.3561,22.8033,3
1,5,30.7692,97576,163.288,0.0191285,60.229,3
1,5,34.7222,97132,250.275,0.0167889,60.7955,3
1,5,75,97548,23.812,9.78811,32.0312,3
1,5,-nan,97488,1.149,5.16593,32.693,3
1,5,-nan,97240,2.259,13.7284,29.6854,3
1,92,inf,91096,2.167,97.8571,26.7831,3
1,93,inf,89060,8.66,52.0928,30.7562,3
1,92,0,91168,4.364,23.2634,33.3382,3
1,5,inf,97352,8.54,4.01061,35.106,3
