id,nombre,CPU(%),MEMORIA(KB),TIEMPO(S)
1,CREDENCIALES/5.png,31.1111,97132,555.891
1,CREDENCIALES/5.png,30,97224,184.761
1,CREDENCIALES/5.png,39.0625,97100,254.869
1,CREDENCIALES/5.png,41.0714,97204,227.976
1,CREDENCIALES/5.png,50,97232,223.898
1,CREDENCIALES/5.png,45.8333,97128,217.914
1,CREDENCIALES/5.png,46.4286,97320,266.684
1,CREDENCIALES/5.png,40.2778,97260,291.408
1,CREDENCIALES/5.png,45,97240,271.231
1,CREDENCIALES/92.png,50,91096,120.567
1,CREDENCIALES/93.png,25,89060,71.999
1,CREDENCIALES/92.png,40,91168,78.469
1,CREDENCIALES/5.png,41.0714,97352,234.932
